COUNTRY CODE	STATE CODE	COUNTY CODE	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER
CN	CN-62		L9366204	P	35.1922139	102.9097290	2019-05-29	16:41:00	obs685978	S56859696	Traveling	P22	9	2.930		1	1	
CN	CN-14		L9366410	P	36.6343306	112.0774830	2019-05-30	14:55:00	obs1162333	S56891188	Traveling	P22	128	0.595		3	1	
CN	CN-14		L9366419	P	36.7637485	112.0713649	2019-05-29	12:39:00	obs1162333	S56860938	Traveling	P22	150	3.460		3	1	
CN	CN-14		L9366429	P	36.6744973	112.3546383	2019-05-29	16:01:00	obs1162333	S56860965	Traveling	P22	51	1.931		3	1	
CN	CN-14		L9366435	P	36.6978898	112.3561067	2019-05-29	16:59:00	obs1162333	S56860992	Traveling	P22	48	4.828		3	1	
CN	CN-14		L9366439	P	36.6181564	112.3907583	2019-05-29	18:02:00	obs1162333	S56861015	Traveling	P22	26	0.370		3	1	
CN	CN-14		L9366443	P	36.4755119	112.3448166	2019-05-29	18:55:00	obs1162333	S56861031	Stationary	P21	10			3	1	
CN	CN-31		L9366764	P	31.0552900	121.1794650	2019-05-29	12:38:00	obs1137471	S56863228	Traveling	P22	120	3.500		1	1	
CN	CN-32		L9367165	P	32.5422060	121.0014900	2019-05-30	07:35:00	obs1124828	S56884338	Traveling	P22	70	1.000		3	1	
CN	CN-32		L9367165	P	32.5422060	121.0014900	2019-05-29	17:20:00	obs1124828	S56865241	Stationary	P21	30			2	1	
CN	CN-51		L9370608	P	30.8924000	102.9765000	2019-05-14	10:15:00	obs767243	S56884549	Traveling	P22	55	0.600		9	1	G4234309
CN	CN-51		L9370608	P	30.8924000	102.9765000	2019-05-14	10:15:00	obs450541	S56883075	Traveling	P22	55	0.600		9	1	G4234309
CN	CN-51		L9370629	P	30.8971000	102.9824000	2019-05-14	11:15:00	obs450541	S56883163	Traveling	P22	20	0.200		9	1	G4234313
CN	CN-51		L9370629	P	30.8971000	102.9824000	2019-05-14	11:15:00	obs767243	S56884567	Traveling	P22	20	0.200		9	1	G4234313
CN	CN-32		L9370631	P	32.5434270	120.9976830	2019-05-30	07:39:00	obs688052	S57184242	Traveling	P22	60	1.000		3	1	G4254085
CN	CN-32		L9370631	P	32.5434270	120.9976830	2019-05-30	07:39:00	obs959683	S56883144	Traveling	P22	60	1.000		3	1	G4254085
CN	CN-51		L9370650	P	30.8564000	102.9708000	2019-05-14	12:00:00	obs767243	S56884591	Traveling	P22	40	0.500		7	1	G4234317
CN	CN-51		L9370650	P	30.8564000	102.9708000	2019-05-14	12:00:00	obs450541	S56883292	Traveling	P22	40	0.500		7	1	G4234317
CN	CN-63		L9370712	H	36.5595000	101.8172000	2019-05-15	12:52:00	obs450541	S56883930	Traveling	P22	248	3.000		6	1	G4234327
CN	CN-63		L9370712	H	36.5595000	101.8172000	2019-05-15	12:52:00	obs767243	S56884642	Traveling	P22	248	3.000		6	1	G4234327
CN	CN-31		L9370804	P	31.2197270	121.5430100	2019-05-30	09:12:00	obs642354	S56884123	Traveling	P22	3	0.100		1	1	
CN	CN-65		L9370856	P	44.4922394	84.9254316	2019-05-30	06:53:00	obs886063	S56884422	Traveling	P22	33	0.610		10	1	
CN	CN-31		L9370916	P	31.6042204	121.8495533	2019-05-30	05:10:00	obs419924	S56884795	Stationary	P21	147			3	1	
CN	CN-11		L9371008	P	39.9490050	115.4858357	2019-05-25	21:00:00	obs601590	S56885579	Stationary	P21	20			2	1	
CN	CN-11		L9371008	P	39.9490050	115.4858357	2019-05-26	04:50:00	obs601590	S56885561	Traveling	P22	50	0.500		2	1	
CN	CN-63		L9371010	P	37.0115869	102.0736401	2019-05-16	14:34:00	obs767243	S56886158	Traveling	P22	26	0.200		6	1	G4234542
CN	CN-63		L9371010	P	37.0115869	102.0736401	2019-05-16	14:34:00	obs450541	S56885603	Traveling	P22	26	0.200		6	1	G4234542
CN	CN-63		L9371025	P	37.0290000	102.2464000	2019-05-16	16:00:00	obs450541	S56885744	Traveling	P22	24	0.100		6	1	G4234544
CN	CN-63		L9371025	P	37.0290000	102.2464000	2019-05-16	16:00:00	obs767243	S56886169	Traveling	P22	24	0.100		6	1	G4234544
CN	CN-63		L9371061	P	37.0304000	102.3369000	2019-05-16	16:44:00	obs450541	S56885910	Traveling	P22	76	0.700		6	1	G4234545
CN	CN-63		L9371061	P	37.0304000	102.3369000	2019-05-16	16:44:00	obs767243	S56886174	Traveling	P22	76	0.700		6	1	G4234545
CN	CN-63		L9371120	P	37.5750000	100.7473000	2019-05-17	16:20:00	obs450541	S56886393	Traveling	P22	100	0.400		6	1	G4234583
CN	CN-65		L9371589	P	44.0971373	84.8228480	2019-05-30	10:25:00	obs886063	S56888808	Traveling	P22	64	1.220		10	1	
CN	CN-65		L9371592	P	44.4921857	84.9196788	2019-05-30	07:32:00	obs886063	S56888816	Traveling	P22	42	0.950		10	1	
CN	CN-65		L9371655	P	44.1148568	84.8231947	2019-05-30	11:51:00	obs886063	S56889097	Traveling	P22	22	1.810		10	1	
CN	CN-51		L9371862	P	31.0235040	103.1688120	2019-05-30	16:10:00	obs358384	S56889847	Stationary	P21	20			1	1	
CN	CN-51		L9371865	P	30.8907516	102.9804372	2019-05-29	14:00:00	obs358384	S56889855	Traveling	P22	50	0.805		1	1	
CN	CN-14		L9372122	P	36.7846524	111.9998570	2019-05-30	06:01:00	obs1162333	S56891173	Traveling	P22	260	1.996		3	1	
